META; english/premier-league/chelsea-v-west-ham; 2018-03-18 14:16:30 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 2/7; 2/7; 31/00; 2/9; 1/3; 2/7; 2/7; 30/00; 3/10; 3/10; 3/11; 1/4; 4/13; 2/9; 
Draw; 17/4; 17/4; 51/10; 7/2; 4; 9/2; 17/4; 9/2; 9/2; 21/5; 22/5; 19/4; 17/4; 21/5; 10/3
West Ham; 10; 10; 21/2; 9; 11; 10; 10; 17/2; 8; 14; 10; 35/4; 17/2; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-18 18:16:29 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 2/7; 2/7; 31/00; 2/9; 2/9; 1/3; 2/7; 2/7; 30/00; 3/10; 3/10; 3/11; 1/3; 1/4; 3/10; 2/9; 
Draw; 17/4; 17/4; 51/10; 15/4; 7/2; 4; 9/2; 9/2; 9/2; 9/2; 21/5; 22/5; 4; 19/4; 17/4; 17/4; 10/3
West Ham; 10; 10; 21/2; 19/2; 9; 11; 11; 10; 35/4; 8; 15/2; 14; 10; 35/4; 17/2; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-19 02:28:23 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 31/00; 1/5; 1/5; 1/3; 2/7; 2/7; 30/00; 2/7; 2/7; 5/19; 1/3; 1/4; 1/4; 2/7; 1/4
Draw; 9/2; 17/4; 49/10; 4; 4; 9/2; 9/2; 9/2; 9/2; 43/10; 22/5; 4; 19/4; 9/2; 74/17; 7/2; 
West Ham; 11; 10; 11; 19/2; 9; 11; 11; 11; 37/4; 43/5; 15/2; 14; 11; 37/4; 17/2; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-19 10:28:24 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 31/00; 1/5; 1/5; 1/3; 2/7; 2/7; 30/00; 2/7; 2/7; 5/19; 1/3; 1/4; 1/4; 2/7; 1/4
Draw; 9/2; 17/4; 49/10; 4; 4; 9/2; 9/2; 9/2; 9/2; 43/10; 22/5; 4; 19/4; 9/2; 74/17; 7/2; 
West Ham; 11; 10; 11; 19/2; 9; 11; 11; 11; 37/4; 43/5; 15/2; 14; 11; 37/4; 17/2; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-19 14:28:25 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 3/10; 1/5; 1/5; 1/3; 2/7; 2/7; 30/00; 2/7; 2/7; 5/19; 1/3; 1/4; 1/4; 2/7; 1/4
Draw; 9/2; 17/4; 26/5; 4; 4; 9/2; 9/2; 9/2; 9/2; 43/10; 22/5; 4; 19/4; 9/2; 74/17; 7/2; 
West Ham; 11; 10; 11; 19/2; 9; 11; 11; 11; 37/4; 43/5; 15/2; 14; 11; 37/4; 17/2; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-19 18:28:27 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 2/7; 2/7; 5/19; 1/4; 1/4; 1/4; 2/7; 1/4
Draw; 9/2; 17/4; 4; 26/5; 4; 19/4; 9/2; 9/2; 5; 9/2; 43/10; 22/5; 19/4; 19/4; 9/2; 74/17; 21/5; 
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 11; 37/4; 43/5; 21/2; 14; 11; 37/4; 19/2; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-19 22:28:28 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 2/7; 2/7; 1/4; 5/19; 1/4; 1/4; 1/4; 2/7; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 43/10; 5; 22/5; 19/4; 19/4; 9/2; 74/17; 21/5
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 11; 37/4; 11; 43/5; 21/2; 14; 11; 37/4; 19/2; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-20 02:28:27 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 2/7; 2/7; 1/4; 5/19; 1/4; 1/4; 1/4; 2/7; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 43/10; 5; 22/5; 19/4; 19/4; 9/2; 74/17; 21/5
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 11; 37/4; 11; 43/5; 21/2; 14; 11; 37/4; 19/2; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-20 10:28:28 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 2/7; 2/7; 1/4; 5/19; 1/4; 1/4; 1/4; 2/7; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 43/10; 5; 22/5; 19/4; 19/4; 9/2; 74/17; 21/5
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 11; 37/4; 11; 43/5; 21/2; 14; 11; 37/4; 10; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-20 14:28:26 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 2/7; 2/7; 1/4; 5/19; 1/4; 1/4; 1/4; 2/7; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 43/10; 5; 22/5; 19/4; 19/4; 9/2; 74/17; 4
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 11; 37/4; 11; 43/5; 21/2; 14; 11; 37/4; 17/2; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-20 18:28:27 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 2/7; 1/4; 1/4; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 23/5; 5; 22/5; 19/4; 19/4; 9/2; 79/17; 4
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 11; 21/2; 11; 43/5; 21/2; 14; 11; 21/2; 17/2; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-20 22:28:30 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 2/7; 1/4; 1/4; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 23/5; 5; 22/5; 19/4; 19/4; 9/2; 79/17; 4
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 11; 21/2; 11; 43/5; 21/2; 14; 11; 21/2; 17/2; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-21 02:28:31 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 2/7; 1/4; 1/4; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 23/5; 5; 22/5; 19/4; 19/4; 9/2; 79/17; 21/5
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 11; 21/2; 11; 43/5; 21/2; 14; 11; 21/2; 52/5; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-21 10:28:31 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 2/7; 1/4; 1/4; 5/19; 1/4; 1/4; 1/4; 5/18; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 23/5; 5; 22/5; 19/4; 19/4; 9/2; 22/5; 21/5
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 11; 21/2; 11; 43/5; 21/2; 14; 11; 37/4; 52/5; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-21 14:28:32 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 1/4; 1/4; 1/4; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 23/5; 5; 22/5; 19/4; 19/4; 9/2; 79/17; 21/5
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 10; 21/2; 11; 43/5; 21/2; 14; 11; 21/2; 52/5; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-21 18:28:32 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 1/4; 1/4; 1/4; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 23/5; 5; 22/5; 19/4; 19/4; 9/2; 79/17; 21/5
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 10; 21/2; 11; 43/5; 21/2; 14; 11; 21/2; 52/5; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-21 22:28:32 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 1/4; 1/4; 1/4; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 23/5; 5; 22/5; 19/4; 19/4; 9/2; 79/17; 21/5
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 10; 21/2; 11; 43/5; 21/2; 14; 11; 21/2; 52/5; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-22 02:28:30 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 1/4; 1/4; 1/4; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 23/5; 5; 22/5; 19/4; 19/4; 9/2; 79/17; 21/5
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 10; 21/2; 11; 43/5; 21/2; 14; 11; 21/2; 19/2; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-22 10:28:30 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 1/4; 3/11; 1/4; 5/19; 1/4; 1/4; 1/4; 3/11; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 49/11; 5; 22/5; 19/4; 19/4; 9/2; 9/2; 21/5
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 10; 39/4; 11; 43/5; 21/2; 14; 11; 39/4; 19/2; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-22 14:28:35 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 2/7; 1/4; 1/4; 1/4; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 5; 9/2; 79/17; 5; 22/5; 19/4; 19/4; 9/2; 47/10; 21/5
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 10; 43/4; 11; 43/5; 21/2; 14; 11; 43/4; 19/2; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-22 18:28:34 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/5; 1/4; 2/7; 2/7; 30/00; 1/4; 1/4; 1/4; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Draw; 9/2; 17/4; 4; 26/5; 9/2; 9/2; 19/4; 9/2; 9/2; 9/2; 9/2; 47/10; 5; 22/5; 19/4; 5; 9/2; 47/10; 21/5
West Ham; 11; 10; 11; 11; 19/2; 9; 11; 11; 11; 10; 43/4; 11; 43/5; 21/2; 14; 11; 43/4; 19/2; 
META; english/premier-league/chelsea-v-west-ham; 2018-03-22 22:28:33 GMT+2; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 1/4; 2/7; 2/7; 3/10; 1/5; 1/4; 1/5; 1/4; 1/4; 2/7; 2/7; 30/00; 1/4; 1/4; 1/4; 5/19; 1/4; 1/4; 1/4; 1/4; 1/4
Chelsea; 2/7; 2/7; 1/4; 2/7; 29/100; 1/4; 1/4; 2/9; 5/18; 1/4; 1/4; 1/4; 1/4; 1/4; 2/7; 1/4; 3/11; 5/18; 5/18; 5/19; 2/7; 3/11; 1/4; 1/4; 2/7; 2/7
Draw; 5; 9/2; 9/2; 9/2; 53/10; 11/2; 5; 21/4; 19/4; 9/2; 9/2; 9/2; 5; 4; 94/19; 19/4; 5; 51/10; 5; 24/5; 5; 5; ; ; ; 
West Ham; 11; 11; 11; 23/2; 12; 10; 11; 11; 11; 11; 10; 11; 12; 10; 19/2; 43/4; 10; 10; 21/2; 11; 43/4; 57/5; 56/5; 56/5; 59/5; 
META; english/premier-league/chelsea-v-west-ham; 2018-04-06 18:16:00 GMT+3; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 2/7; 2/7; 1/4; 2/7; 29/100; 1/4; 1/4; 2/9; 5/18; 1/4; 1/4; 2/7; 1/4; 1/4; 2/7; 1/4; 3/11; 5/18; 2/7; 5/19; 2/7; 3/11; 1/4; 1/4; 2/7
Draw; 5; 9/2; 9/2; 9/2; 53/10; 11/2; 5; 91/17; 19/4; 9/2; 5; 9/2; 5; 4; 94/19; 19/4; 5; 21/4; 5; 5; 26/5; 26/5; ; ; 
West Ham; 11; 11; 11; 23/2; 12; 11; 11; 109/10; 11; 11; 10; 11; 12; 10; 17/2; 43/4; 10; 21/2; 11; 43/4; 54/5; 56/5; 54/5; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-04-06 22:16:00 GMT+3; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 2/7; 2/7; 1/4; 2/7; 29/100; 1/4; 1/4; 2/9; 5/18; 1/4; 1/4; 2/7; 1/4; 1/4; 2/7; 1/4; 3/11; 5/18; 2/7; 5/19; 2/7; 3/11; 1/4; 1/4; 2/7; 1/4
Draw; 5; 9/2; 9/2; 9/2; 53/10; 11/2; 5; 91/17; 19/4; 9/2; 5; 9/2; 5; 4; 94/19; 19/4; 5; 21/4; 5; 5; 26/5; 26/5; 26/5; ; ; 
West Ham; 11; 11; 11; 23/2; 12; 10; 11; 109/10; 11; 11; 10; 11; 12; 10; 17/2; 43/4; 10; 21/2; 11; 43/4; 57/5; 59/5; 59/5; ; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-04-07 02:16:00 GMT+3; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 2/7; 2/7; 1/4; 2/7; 29/100; 1/4; 1/4; 2/9; 5/18; 1/4; 1/4; 2/7; 1/4; 1/4; 2/7; 1/4; 3/11; 5/18; 2/7; 5/19; 2/7; 3/11; 1/4; 1/4; 2/7; 1/4
Draw; 5; 9/2; 9/2; 9/2; 53/10; 11/2; 5; 91/17; 9/2; 9/2; 5; 9/2; 5; 4; 94/19; 19/4; 5; 21/4; 5; 5; 26/5; 26/5; 26/5; ; ; 
West Ham; 11; 11; 11; 23/2; 12; 10; 11; 109/10; 11; 11; 10; 11; 12; 10; 17/2; 43/4; 10; 21/2; 11; 43/4; 57/5; 59/5; 59/5; 59/5; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-04-07 10:16:00 GMT+3; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 2/7; 3/10; 1/4; 2/7; 29/100; 1/4; 1/4; 2/9; 5/18; 1/4; 1/4; 2/7; 1/4; 1/4; 2/7; 1/4; 3/11; 5/18; 2/7; 5/19; 2/7; 3/11; 1/4; 1/4; 2/7; 1/4
Draw; 5; 9/2; 9/2; 9/2; 53/10; 11/2; 5; 91/17; 9/2; 9/2; 5; 9/2; 5; 4; 94/19; 19/4; 5; 21/4; 5; 5; 26/5; 26/5; 26/5; ; ; 
West Ham; 11; 10; 11; 11; 23/2; 12; 11; 11; 109/10; 11; 11; 10; 11; 12; 10; 19/2; 43/4; 10; 21/2; 11; 43/4; 57/5; 56/5; 56/5; 59/5; 
META; english/premier-league/chelsea-v-west-ham; 2018-04-07 14:16:04 GMT+3; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 2/7; 2/7; 1/4; 2/7; 29/100; 2/7; 1/4; 2/9; 5/18; 1/4; 2/7; 2/7; 1/4; 1/4; 2/7; 1/4; 3/11; 5/18; 2/7; 5/19; 2/7; 3/11; 1/4; 1/4; 2/7; 2/7
Draw; 5; 19/4; 9/2; 9/2; 53/10; 5; 5; 91/17; 9/2; 5; 9/2; 5; 4; 94/19; 19/4; 5; 21/4; 5; 5; 26/5; 26/5; 26/5; ; ; ; 
West Ham; 11; 10; 11; 11; 23/2; 11; 10; 10; 109/10; 11; 11; 10; 11; 12; 10; 17/2; 43/4; 10; 21/2; 11; 43/4; 57/5; 56/5; 56/5; 59/5; 
META; english/premier-league/chelsea-v-west-ham; 2018-04-07 18:15:58 GMT+3; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 2/7; 2/7; 1/4; 2/7; 3/10; 1/4; 2/7; 2/9; 5/18; 2/7; 2/7; 2/7; 1/4; 1/4; 2/7; 1/4; 3/11; 5/18; 2/7; 5/19; 2/7; 3/11; 1/4; 2/7; 2/7
Draw; 5; 19/4; 9/2; 9/2; 26/5; 5; 9/2; 91/17; 9/2; 5; 9/2; 5; 4; 94/19; 19/4; 5; 21/4; 5; 24/5; 5; 5; ; ; ; 
West Ham; 11; 10; 10; 11; 11; 13; 11; 12; 109/10; 11; 11; 10; 11; 12; 10; 17/2; 43/4; 10; 21/2; 11; 43/4; 57/5; 56/5; 56/5; 59/5
META; english/premier-league/chelsea-v-west-ham; 2018-04-07 22:15:33 GMT+3; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 2/7; 2/7; 1/4; 2/7; 29/100; 2/7; 2/7; 1/4; 5/18; 2/7; 2/7; 2/7; 1/4; 2/7; 2/7; 1/4; 3/11; 5/18; 2/7; 5/19; 2/7; 3/11; 1/4; 2/7; 2/7; 2/7
Draw; 5; 19/4; 9/2; 9/2; 27/5; 5; 9/2; 91/17; 9/2; 5; 9/2; 19/4; 5; 94/19; 19/4; 5; 21/4; 21/4; 5; 24/5; 5; 26/5; ; ; ; 
West Ham; 11; 10; 10; 11; 11; 12; 11; 10; 109/10; 11; 11; 10; 11; 12; 10; 17/2; 21/2; 10; 21/2; 11; 43/4; 54/5; 56/5; 56/5; 56/5; 
META; english/premier-league/chelsea-v-west-ham; 2018-04-08 02:15:32 GMT+3; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 2/7; 2/7; 1/4; 2/7; 3/10; 2/7; 2/7; 1/4; 5/18; 2/7; 2/7; 2/7; 1/4; 2/7; 2/7; 1/4; 3/11; 5/18; 2/7; 5/19; 2/7; 3/11; 1/4; 1/4; 2/7; 2/7
Draw; 5; 19/4; 9/2; 9/2; 53/10; 5; 9/2; 91/17; 9/2; 5; 9/2; 19/4; 5; 94/19; 19/4; 5; 21/4; 21/4; 5; 24/5; 26/5; 26/5; ; ; ; 
West Ham; 11; 10; 10; 11; 21/2; 12; 11; 10; 109/10; 11; 11; 10; 11; 12; 10; 17/2; 21/2; 10; 21/2; 11; 43/4; 57/5; 56/5; 59/5; 59/5; 
META; english/premier-league/chelsea-v-west-ham; 2018-04-08 10:15:32 GMT+3; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 2/7; 2/7; 2/7; 2/7; 29/100; 2/7; 1/4; 1/4; 5/18; 2/7; 2/7; 2/7; 1/4; 2/7; 2/7; 1/4; 5/19; 5/18; 2/7; 5/19; 2/7; 3/11; 1/4; 1/4; 2/7; 2/7
Draw; 5; 19/4; 24/5; 9/2; 27/5; 5; 9/2; 91/17; 24/5; 5; 9/2; 5; 4; 96/19; 19/4; 5; 21/4; 21/4; 51/10; 24/5; 24/5; 5; ; ; ; 
West Ham; 11; 10; 11; 11; 11; 12; 11; 11; 109/10; 12; 11; 10; 11; 12; 10; 17/2; 11; 10; 19/2; 21/2; 11; 11; 57/5; 59/5; 59/5; 59/5
META; english/premier-league/chelsea-v-west-ham; 2018-04-08 14:15:33 GMT+3; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 3/10; 2/7; 1/3; 3/10; 33/100; 3/10; 3/10; 1/4; 4/13; 1/3; 2/7; 1/3; 3/10; 1/3; 30/100; 3/10; 3/10; 5/18; 4/13; 2/7; 3/10; 3/10; 3/10; 1/3; 1/3; 1/3
Draw; 5; 19/4; 9/2; 9/2; 47/10; 5; 19/4; 9/2; 24/5; 9/2; 5; 9/2; 9/2; 19/4; 9/2; 9/2; 19/4; 23/5; 23/5; 19/4; 50/11; 9/2; 23/5; 23/5; 23/5; 
West Ham; 10; 10; 10; 21/2; 10; 10; 21/2; 10; 11; 10; 10; 10; 10; 37/4; 10; 44/5; 10; 21/2; 10; 10; 49/5; 51/5; 51/5; ; ; 
META; english/premier-league/chelsea-v-west-ham; 2018-04-08 18:15:29 GMT+3; 2018-04-08 16:30; Nothing; Xlenovo
Chelsea; 3/10; 3/10; 3/10; 8/25; 3/10; 3/10; 1/4; 4/13; 2/7; 3/10; 2/7; 3/10; 2/7; 3/10; 3/10; 5/18; 2/7; 2/7; 3/10; 3/10; 2/7; 3/10
Draw; 5; 9/2; 9/2; 24/5; 5; 19/4; 9/2; 24/5; 19/4; 5; 9/2; 19/4; 5; 9/2; 50/11; 19/4; 24/5; 23/5; 5; 50/11; 24/5; 5
West Ham; 10; 10; 10; 11; 11; 10; 10; 21/2; 12; 10; 11; 11; 10; 10; 39/4; 10; 19/2; 10; 10; 21/2; 52/5; 54/5
